0; A Classic Education - NightOwl
1; ANiMAL - Clinic A
2; ANiMAL - Easy Tiger
3; ANiMAL - Rockshow
4; Actions - Devil's Words
5; Actions - One Minute Smile
6; Actions - South Of The Water
7; Aimee Norwich - Child
8; Alexander Ross - Goodbye Bolero
9; Alexander Ross - Velvet Curtain
10; Angela Thomas Wade - Milk Cow Blues
11; Atlantis Bound - It Was My Fault For Waiting
12; Auctioneer - Our Future Faces
13; AvaLuna - Waterduct
14; BigTroubles - Phantom
15; Bill Chudziak - Children Of No-one
16; Black Bloc - If You Want Success
17; Celestial Shore - Die For Us
18; Chris Durban - Celebrate
19; Clara Berry And Wooldog - Air Traffic
20; Clara Berry And Wooldog - Stella
21; Clara Berry And Wooldog - Waltz For My Victims
22; Cnoc An Tursa - Bannockburn
23; Creepoid - OldTree
24; Dark Ride - Burning Bridges
25; Dreamers Of The Ghetto - Heavy Love
26; Drumtracks - Ghost Bitch
27; Faces On Film - Waiting For Ga
28; Fergessen - Back From The Start
29; Fergessen - Nos Palpitants
30; Fergessen - The Wind
31; Flags - 54
32; Giselle - Moss
33; Grants - PunchDrunk
34; Helado Negro - Mitad Del Mundo
35; Hezekiah Jones - Borrowed Heart
36; Hollow Ground - Left Blind
37; Hop Along - Sister Cities
38; Invisible Familiars - Disturbing Wildlife
39; James May - All Souls Moon
40; James May - Dont Let Go
41; James May - If You Say
42; James May - On The Line
43; Jay Menon - Through My Eyes
44; Johnny Lokke - Promises & Lies
45; Johnny Lokke - Whisper To A Scream
46; Jokers, Jacks & Kings - Sea Of Leaves
47; Leaf - Come Around
48; Leaf - Summerghost
49; Leaf - Wicked
50; Lushlife - Toynbee Suite
51; Matthew Entwistle - Dont You Ever
52; Meaxic - Take A Step
53; Meaxic - You Listen
54; Music Delta - 80s Rock
55; Music Delta - Beatles
56; Music Delta - Britpop
57; Music Delta - Country1
58; Music Delta - Country2
59; Music Delta - Disco
60; Music Delta - Gospel
61; Music Delta - Grunge
62; Music Delta - Hendrix
63; Music Delta - Punk
64; Music Delta - Reggae
65; Music Delta - Rock
66; Music Delta - Rockabilly
67; Night Panther - Fire
68; North To Alaska - All The Same
69; Patrick Talbot - A Reason To Leave
70; Patrick Talbot - Set Me Free
71; Phre The Eon - Everybody's Falling Apart
72; Port St Willow - Stay Even
73; Remember December - C U Next Time
74; Secret Mountains - High Horse
75; Skelpolu - Human Mistakes
76; Skelpolu - Together Alone
77; Snowmine - Curfews
78; Spike Mullings - Mike's Sulking
79; St Vitus - Word Gets Around
80; Steven Clark - Bounty
81; Strand Of Oaks - Spacestation
82; Sweet Lights - You Let Me Down
83; Swinging Steaks - Lost My Way
84; The Districts - Vermont
85; The Long Wait - Back Home To Blue
86; The Scarlet Brand - Les Fleurs Du Mal
87; The So So Glos - Emergency
88; The Wrong'Uns - Rothko
89; Tim Taler - Stalker
90; Titanium - Haunted Age
91; Traffic Experiment - Once More (With Feeling)
92; Traffic Experiment - Sirens
93; Triviul - Angelsaint
94; Triviul - Dorothy
95; Voelund - Comfort Lives In Belief
96; Wall Of Death - Femme
97; Young Griffo - Blood To Bone
98; Young Griffo - Facade
99; Young Griffo - Pennies
