,High-Low Pass,HPSS,TimbreClustering,Repet,FT2D,RepetSim,model_20220127_long_train_sd+ds,model_20220207_aug=8_4k,model_20220202_quick,model_20220101_init,model_20220206_90x2_2.3M_4k_L2,model_20220206_90x2_2.3M_4k_L2_long,model_20220202_100x2_2.3M_maxepoch,OpenUnmix UMX,Spleeter,Demucs MDX Q,Demucs MDX,Demucs MDX EXTRA,Demucs MDX EXTRA Q,Ideal Binary Mask,Ideal Ratio Mask
0,-9.166527398703838,-5.978764658842783,1.2587865312658906,1.9269411704402803,2.1257888744422453,3.726620985087048,5.173961328714834,5.044906682545058,5.831960067005007,4.853234577536564,7.356648462491061,6.669761000575923,6.978089025942338,8.138339187586162,9.40230490740175,10.261808926046946,10.17889553814569,11.789519049751892,11.795224379261034,14.013450106646708,15.365537538478618
1,-4.870047713861471,-2.8536291540995835,0.0771203826432478,0.669951792045338,1.110942832904135,1.5667411611935234,2.955514518509188,1.99855066008714,3.006706351988206,3.335275429395418,3.1666646897592883,2.9067784969126462,3.258624153976968,4.507685550116491,5.205976581282965,6.101661969786161,5.982650590121832,8.537181973869812,8.475875456097473,9.979329338133184,11.262435081747316
10,-7.4851572852915265,-2.424658749218985,0.3147258432310079,0.6292415897367202,1.41605597118654,1.526470063450811,3.7867536198700913,3.228202374918693,4.534688288089472,4.325219932340525,5.400573924748353,4.892776738537293,4.946681400204531,8.099455485677444,8.399880299326412,9.981907611172526,10.053368855553083,11.215490199050826,10.941610028823431,12.075146934643511,13.39359602324398
11,-16.273933401263974,-8.612495669837323,-5.857587075810812,-5.714032910605336,-5.249850658442729,-4.313109497840234,-0.9918427460834284,-0.2722727576208213,0.2824559201257626,-0.837462911253996,-0.0816709904599005,0.2059037909606609,0.1549017497097458,1.075249510484838,4.183069354007831,4.397467390157385,5.34790814219007,10.051388740156964,10.207713805385662,12.441345911599887,13.7640414664172
12,-11.272998916189712,-5.17175160030712,-0.3319370772726421,0.6200940551724112,1.2385114351407958,1.0065610097629134,0.5305690315548285,4.859019488065277,2.5173548433060366,2.8549906301507706,5.284852842719936,5.388676358287565,5.19000220765262,8.784147014761086,7.857419893559404,10.715746247224947,10.52821126872233,12.448490065243291,12.071426013551475,12.02677057450446,13.288028163612449
13,-7.729735423498601,-7.268157869313531,-7.204825423182483,-4.724200962553441,-4.042268894099424,-1.6073123638535431,-1.0527551067586929,-0.4779462920158919,-1.8008197186767951,-1.2020001942172462,-0.8553958816354541,-0.1321634757511567,0.619775739855212,5.483659921135375,6.004273894588123,6.95316948505309,7.035647781808916,8.104029175742625,8.083483866538248,10.35103557122591,11.731088335277644
14,-12.348669530024967,-7.505368227786489,-4.005163593752441,-4.7312106468348505,-2.660169783553296,-1.7568804930530997,-0.1450083522858254,0.7127202672549403,0.3062674007208698,-0.1953940254609613,1.4616907947293687,1.2137049294157791,0.7532500117382822,,3.6589879880035343,4.285861624854345,4.193341356455387,6.4364632830057324,6.680790756622114,8.70221730609581,9.96999958088696
15,-11.260792920773502,-16.25320933105565,-8.836041564475243,-6.766517759884745,-5.142449959220578,-4.91043389270946,0.6580257118904165,2.582096239447173,1.2160893093893452,1.1082697725006032,2.9102622604934507,2.107437187542028,2.58409304315024,,2.856407215152995,4.910264670114611,4.936488789798473,5.632397643252851,5.537618709845127,7.485280504109575,8.813653099169857
16,-7.1578955496000285,-17.974720345065222,-9.4627191087084,-8.03760544578606,-8.153588161490962,-5.019333396343635,1.536419264245058,3.2203498475415677,0.3228776555483007,2.726245387478219,3.307418847625593,2.8931482459138413,1.7544625060500345,6.321536821702898,5.424947648155484,6.983026160653164,6.977952831596166,7.18354254720988,7.0875636078747615,9.101413257156594,10.412634631174065
17,-9.187610990700009,-5.410278642498936,-1.3463424990442705,-0.4942824185098889,-0.0694413537744844,0.1014730312639886,3.300752453465181,4.366814362057773,3.701261721016593,4.288274382674263,4.68796070735496,4.760951329620649,5.234059034781295,5.529996007860831,5.675433612636445,6.275202854584553,6.208426710871942,8.542473830598794,8.891854142973033,11.127741843914876,12.50219779845198
18,-5.607152201663851,-7.942400381728667,-6.081016847907669,-3.0820138421771626,-1.8205373362144317,-0.5612794517283775,2.585559206949155,4.470181517958755,4.030240513735092,3.7339737464048457,3.399815662039005,3.074661619339643,3.8552648585108775,7.632563059517054,7.91022642264448,8.618628402345614,8.718861201991615,9.987249694072563,9.68793194246089,11.922563838479547,13.195187764370935
19,-14.624628283294827,-1.9025555333436,0.9654484463304952,1.9377070949832225,4.594834342682228,3.83116405682677,1.6306473521068685,2.6819290945172702,1.951761211160033,0.8256908204255291,3.832851303802606,3.674530754974633,4.388825626268077,7.142352156407105,9.222962319305145,10.29752833739194,10.11231003123289,13.687449357805336,13.544170857404572,13.6510851348057,14.78663521173193
2,-12.438250201107046,-5.649351568309989,-0.5086004072292432,0.8818135303610621,0.7538319538017795,0.5628164419377707,5.568667439678202,7.483044822989013,5.755032054817855,4.374151648672836,7.330024767891117,7.458191018360595,7.347433986687442,8.916993327279963,8.327246474076496,9.681757564778952,9.649733952747606,11.03262659337282,10.843094569734404,12.988647909331348,14.268714032916083
20,-6.739661359502199,-10.064244575121664,-6.585766625151489,-5.34422810689932,-4.463052696878517,-3.635648008059939,-0.10246942899212,0.8904721382572538,0.943290342528122,0.637775564170686,1.3477631576428668,1.3372385659491794,1.077374580391006,,6.361212177647167,9.57963494175903,9.37616280455638,11.243985074844234,10.930041110320476,10.636584617184392,11.95907666231188
